Wilayah,"H. ANIES RASYID BASWEDAN, Ph.D. - Dr. (H.C.) H. A. MUHAIMIN ISKANDAR",H. PRABOWO SUBIANTO - GIBRAN RAKABUMING RAKA,"H. GANJAR PRANOWO, S.H., M.I.P. - Prof. Dr. H. M. MAHFUD MD"
"Total
Progress",22.978.054,55.130.735,16.333.779
"ACEH
66.59%",1.389.575,389.879,42.029
"BALI
54.72%",31.581,518.857,448.339
"BANTEN
65.54%",1.179.392,1.956.411,338.406
"BENGKULU
83.98%",192.519,745.445,124.257
"DAERAH ISTIMEWA YOGYAKARTA
76.58%",269.463,713.852,422.385
"DKI JAKARTA
68.98%",1.322.227,1.344.229,575.326
"GORONTALO
81.15%",149.599,333.959,28.425
"JAMBI
72.36%",349.556,898.829,144.277
"JAWA BARAT
66.95%",5.012.383,8.886.656,1.550.602
"JAWA TENGAH
86.29%",2.268.069,9.374.854,6.119.985
"JAWA TIMUR
79.79%",2.480.703,10.167.476,2.769.052
"KALIMANTAN BARAT
71.15%",442.662,1.128.048,306.636
"KALIMANTAN SELATAN
62.19%",453.530,702.438,82.537
"KALIMANTAN TENGAH
64.10%",150.972,610.034,95.740
"KALIMANTAN TIMUR
59.64%",184.809,602.714,95.341
"KALIMANTAN UTARA
64.14%",41.681,149.434,25.999
"KEPULAUAN BANGKA BELITUNG
76.99%",134.925,363.194,108.566
"KEPULAUAN RIAU
53.35%",181.420,312.332,64.260
"LAMPUNG
83.40%",546.434,2.510.164,555.471
"MALUKU
48.84%",74.331,263.830,70.514
"MALUKU UTARA
47.66%",99.346,220.329,44.684
"NUSA TENGGARA BARAT
75.27%",532.211,1.408.015,163.051
"NUSA TENGGARA TIMUR
64.24%",70.606,780.255,424.029
"P A P U A
26.47%",10.447,51.091,23.865
"PAPUA BARAT
23.14%",6.560,36.940,15.558
"PAPUA BARAT DAYA
36.09%",9.051,39.995,17.456
"PAPUA PEGUNUNGAN
0.05%",145,0,0
"PAPUA SELATAN
17.51%",2.530,18.760,5.474
"PAPUA TENGAH
4.59%",4.855,28.309,13.050
"RIAU
59.43%",745.107,981.750,180.771
"SULAWESI BARAT
79.54%",169.316,388.003,46.379
"SULAWESI SELATAN
73.78%",1.466.293,2.160.899,193.953
"SULAWESI TENGAH
69.43%",254.334,795.992,104.604
"SULAWESI TENGGARA
78.54%",224.257,665.717,55.214
"SULAWESI UTARA
85.23%",107.789,1.050.347,249.061
"SUMATERA BARAT
70.61%",938.744,640.862,67.776
"SUMATERA SELATAN
73.53%",518.437,1.985.313,335.764
"SUMATERA UTARA
55.83%",828.819,1.726.658,356.541
"Luar Negeri
54.50%",133.376,178.865,68.402
